Date,Price,Total_Volume,Total_Boxes,Small_Boxes,Large_Boxes,XLarge_Boxes
2018-01-07,1.537358490566038,76629.70660377358,54749.33320754717,46083.86056603774,8664.101320754718,1.3713207547169812
2018-01-14,1.5842592592592595,72452.54407407407,48946.329259259255,42120.23129629629,6825.4103703703695,0.6875925925925925
2018-01-21,1.6344444444444444,62475.2375925926,44101.42203703704,34783.06333333334,9307.972962962964,10.385740740740742
2018-01-28,1.6131481481481484,65953.37833333334,45909.08277777778,39224.535555555565,6679.003703703703,5.5435185185185185
2018-02-04,1.5464150943396229,69662.2924528302,49328.30943396226,38820.70188679245,10480.781509433964,26.82603773584906
2018-02-11,1.5624528301886793,66300.04075471697,47370.497924528296,38424.01622641509,8933.481320754718,13.000377358490566
2018-02-18,1.57622641509434,93711.51792452832,44053.05283018869,39124.66452830188,4926.108301886792,2.2800000000000002
2018-02-25,1.578148148148148,72301.3551851852,48916.45500000001,37647.235,11255.123888888887,14.096111111111112
2018-03-04,1.5579629629629628,81308.34648148148,54310.79370370371,41101.915555555555,13199.608703703701,9.269444444444446
2018-03-11,1.5259615384615384,84374.08288461539,57067.07596153847,48190.91692307693,8876.15903846154,0.0
2018-03-18,1.5311111111111113,83010.19462962964,51910.098333333335,41182.69148148148,10718.034074074074,9.372777777777777
2018-03-25,1.5464814814814816,77510.8022222222,54118.29185185186,44747.90462962962,9362.270555555555,8.116666666666667
